U+4197	䆗
U+4198	䆘
U+4199	䆙
U+419C	䆜
U+419D	䆝
U+419E	䆞
U+419F	䆟
U+41A1	䆡
U+41A2	䆢
U+41A8	䆨
U+41AE	䆮
U+41AF	䆯
U+41B0	䆰
U+41B1	䆱
U+41B5	䆵
U+41B6	䆶
U+41B7	䆷
U+41B8	䆸
U+41BC	䆼
U+41BF	䆿
U+41C0	䇀
U+41C8	䇈
U+41CF	䇏
U+41D9	䇙
U+41DC	䇜
U+41E4	䇤
U+41E6	䇦
U+41E7	䇧
U+41E9	䇩
U+41EC	䇬
U+41EE	䇮
U+41EF	䇯
U+41F1	䇱
U+41F5	䇵
U+41F9	䇹
U+41FA	䇺
U+41FC	䇼
U+41FD	䇽
U+41FE	䇾
U+420B	䈋
U+420C	䈌
U+420E	䈎
U+4212	䈒
U+421A	䈚
U+421C	䈜
U+421E	䈞
U+421F	䈟
U+4221	䈡
U+4227	䈧
U+422A	䈪
U+422B	䈫
U+422D	䈭
U+422F	䈯
U+4230	䈰
U+4235	䈵
U+4236	䈶
U+4237	䈷
U+4239	䈹
U+423E	䈾
U+423F	䈿
U+4245	䉅
U+4246	䉆
U+424A	䉊
U+424F	䉏
U+4252	䉒
U+4253	䉓
U+4254	䉔
U+4257	䉗
U+4258	䉘
U+425A	䉚
U+425B	䉛
U+425D	䉝
U+425E	䉞
U+4261	䉡
U+4262	䉢
U+4268	䉨
U+426C	䉬
U+426F	䉯
U+4270	䉰
U+4274	䉴
U+4275	䉵
U+4277	䉷
U+427D	䉽
U+4281	䊁
U+4283	䊃
U+4286	䊆
U+4287	䊇
U+428E	䊎
U+4294	䊔
U+4295	䊕
U+4296	䊖
U+4298	䊘
U+4299	䊙
U+42A6	䊦
U+42AB	䊫
U+42AC	䊬
U+42AF	䊯
U+42B0	䊰
U+42B2	䊲
U+42B4	䊴
U+42B6	䊶
U+42B8	䊸
U+42BB	䊻
U+42C0	䋀
U+42C1	䋁
U+42C2	䋂
U+42C8	䋈
U+42C9	䋉
U+42CC	䋌
U+42CE	䋎
U+42D0	䋐
U+42D1	䋑
U+42D4	䋔
U+42D5	䋕
U+42D6	䋖
U+42D9	䋙
U+42DA	䋚
U+42DD	䋝
U+42E2	䋢
U+42E4	䋤
U+42E9	䋩
U+42EC	䋬
U+42ED	䋭
U+42EE	䋮
U+42F0	䋰
U+42F1	䋱
U+42F4	䋴
U+42F5	䋵
U+42F7	䋷
U+42FB	䋻
U+42FD	䋽
U+42FE	䋾
U+4301	䌁
U+4302	䌂
U+4306	䌆
U+430A	䌊
U+430C	䌌
U+4313	䌓
U+4314	䌔
U+4316	䌖
U+4318	䌘
U+4319	䌙
U+431B	䌛
U+431F	䌟
U+4320	䌠
U+4328	䌨
